,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.973,0.966,0.7638,0.5792,0.6579,0.6442,0.6513,0.224
gbc,Gradient Boosting Classifier,0.9466,0.9644,0.834,0.3753,0.5165,0.4927,0.5376,0.53
rf,Random Forest Classifier,0.9662,0.9577,0.6387,0.5037,0.5626,0.5453,0.5498,0.268
ada,Ada Boost Classifier,0.9351,0.952,0.7862,0.3195,0.4532,0.4255,0.4752,0.146
et,Extra Trees Classifier,0.9704,0.9474,0.5868,0.5616,0.5734,0.5581,0.5585,0.112
ridge,Ridge Classifier,0.8271,0.8971,0.8048,0.1413,0.2403,0.1938,0.2901,0.048
lda,Linear Discriminant Analysis,0.8271,0.8971,0.8048,0.1413,0.2403,0.1938,0.2901,0.034
lr,Logistic Regression,0.8258,0.896,0.8048,0.1402,0.2387,0.1921,0.2886,1.05
svm,SVM - Linear Kernel,0.8034,0.8683,0.6187,0.2709,0.3024,0.2665,0.3091,0.172
knn,K Neighbors Classifier,0.8906,0.8497,0.6824,0.1901,0.2971,0.2578,0.3211,0.794
nb,Naive Bayes,0.7272,0.8295,0.7714,0.0905,0.1619,0.1078,0.1988,0.656
dt,Decision Tree Classifier,0.9574,0.8106,0.6531,0.4259,0.5134,0.4924,0.5058,0.092
qda,Quadratic Discriminant Analysis,0.6198,0.5371,0.4699,0.0457,0.0778,0.0219,0.0425,0.028
dummy,Dummy Classifier,0.9661,0.5,0.0,0.0,0.0,0.0,0.0,0.034
